request,latency_ms,status
1,269.2400000523776,200
3,267.68670009914786,200
0,278.02329999394715,200
28,373.57289995998144,200
4,391.57700003124774,200
31,371.7066999524832,200
26,375.0833999365568,200
13,384.2527999076992,200
30,372.59450007695705,200
15,382.78859993442893,200
22,378.0076999682933,200
7,389.82580008450896,200
20,379.51610004529357,200
5,391.2813999922946,200
14,383.70219990611076,200
18,380.9456001035869,200
16,382.3439000407234,200
19,380.349799990654,200
2,393.6383000109345,200
8,389.3809000728652,200
10,387.8375000786036,200
23,377.7282000519335,200
9,388.8398000271991,200
11,386.66890002787113,200
27,375.14969997573644,200
17,381.9638000568375,200
24,377.94599996414036,200
21,380.05230005364865,200
6,391.8511999072507,200
32,372.66529991757125,200
36,412.13289997540414,200
45,406.5496000694111,200
40,410.2114000124857,200
38,411.8268999736756,200
41,410.2648999541998,200
35,414.56409997772425,200
25,421.62569996435195,200
39,412.5708999345079,200
46,408.2507999846712,200
37,414.536299998872,200
29,420.2904000412673,200
12,432.5516999233514,200
42,412.36830002162606,200
33,418.62530005164444,200
48,409.0837000403553,200
34,418.7095999950543,200
43,413.16610004287213,200
47,410.92970001045614,200
49,409.97959999367595,200
44,414.15770002640784,200
50,80.712900031358,200
54,83.90279999002814,200
51,86.98340004775673,200
57,94.14609998930246,200
53,104.22920004930347,200
62,103.66889997385442,200
56,121.1143999826163,200
66,116.44400004297495,200
67,125.81530003808439,200
63,129.5420000096783,200
64,145.75949998106807,200
72,144.28909996058792,200
61,160.96390003804117,200
55,170.90949998237193,200
74,162.73189999628812,200
79,159.4780000159517,200
80,163.22940005920827,200
69,186.58400001004338,200
83,173.70789998676628,200
81,187.9488000413403,200
88,193.81970004178584,200
59,228.98620006162673,200
89,202.76629994623363,200
90,204.59950005169958,200
65,236.80280009284616,200
93,214.5088000688702,200
96,219.26869999151677,200
76,243.45029995311052,200
99,233.3346001105383,200
94,241.3225999334827,200
58,278.10620004311204,200
75,271.01090003270656,200
82,272.7496000006795,200
77,278.1797000207007,200
78,281.9002999458462,200
73,293.05720003321767,200
84,291.4705000584945,200
71,303.86310000903904,200
92,294.83039991464466,200
86,305.5414999835193,200
87,314.5322999916971,200
85,320.7924000453204,200
95,313.5426000226289,200
97,315.2923999587074,200
68,350.08640005253255,200
70,349.31829990819097,200
98,329.46899998933077,200
52,376.14900001790375,200
91,347.7601999184117,200
60,377.0296999718994,200
100,70.13430004008114,200
101,77.6779999723658,200
104,76.54550008010119,200
107,84.8119999282062,200
103,95.63319990411401,200
112,97.50760009046644,200
114,103.76039997208863,200
115,111.19600001256913,200
105,119.11830003373325,200
109,130.06410002708435,200
120,127.6383000658825,200
117,137.20310002099723,200
121,149.07379995565861,200
126,153.86610000859946,200
124,156.48160001728684,200
108,171.2783999973908,200
131,164.5015999674797,200
110,182.64610006008297,200
116,185.36930007394403,200
138,173.91410004347563,200
139,185.72100007440895,200
118,212.11029996629804,200
141,197.91410001926124,200
134,206.07489999383688,200
146,202.70369993522763,200
102,254.44510008674115,200
133,237.69909993279725,200
143,234.68400002457201,200
122,254.74460003897548,200
142,250.7064000237733,200
140,262.23469991236925,200
106,292.72239992860705,200
119,285.823299898766,200
127,285.6813999824226,200
111,307.9433999955654,200
145,287.2340999310836,200
132,302.81669995747507,200
128,317.94789992272854,200
129,317.81939999200404,200
